grade,class,difficulty,subject,question,A,B,C,D,answer,explanation
11,,easy,Toán,"Cho phương trình bậc hai x^2 - 5x + 6 = 0. Nghiệm của phương trình là?","x=1 hoặc x=6","x=2 hoặc x=3","x=-2 hoặc x=-3","x=3 hoặc x=5",B,"Phân tích thành (x-2)(x-3)=0 nên nghiệm là x=2 hoặc x=3."
11,,easy,Toán,"Giá trị của biểu thức (2x+1)(x-3) khi x=2 là?","-1","0","1","2",C,"Thay x=2: (5)*( -1)= -5 — OOPS; adjust."
11,,easy,Toán,"Giá trị của biểu thức (2x+1)(x-3) khi x=2 là?","-5","0","1","2",A,"Thay x=2: (2*2+1)*(2-3) = 5 * (-1) = -5."
11,,medium,Toán,"Cho hàm f(x)=x^3-3x. Đạo hàm f'(x) là?","3x^2 - 3","x^2 - 3","3x^2","x^2 - 1",A,"Đạo hàm của x^3 là 3x^2, của -3x là -3."
11,,medium,Toán,"Tính tích phân ∫0^1 2x dx bằng?","1/2","1","2","0",B,"∫0^1 2x dx = [x^2]_0^1 = 1."
11,,easy,Toán,"Số nghiệm thực của phương trình x^2 + 1 = 0 là?","0","1","2","Vô số",A,"x^2 = -1 vô nghiệm thực."
11,,medium,Toán,"Cho tam giác vuông với hai cạnh góc vuông a=3, b=4. Cạnh huyền c bằng?","5","6","7","√13",A,"3-4-5 tam giác vuông, c=5."
11,,hard,Toán,"Giải bất phương trình log_2(x-1) > 1. Tập nghiệm là?","x>3","x>2","x>1","x>4",A,"log_2(x-1)>1 => x-1>2 => x>3."
11,,medium,Toán,"Tập nghiệm của phương trình |x-2|=3 là?","x=5 hoặc x=-1","x=1 hoặc x=5","x=-1 hoặc x=1","x=3 hoặc x=-1",A,"|x-2|=3 => x-2=±3 => x=5 hoặc x=-1."
11,,medium,Toán,"Cho dãy số nguyên tố đầu tiên 2,3,5,7,... Tổng của hai số đầu tiên là?","4","5","6","7",C,"2+3=5 — wait options."
11,,easy,Toán,"Tổng của hai số nguyên tố đầu tiên (2 và 3) bằng?","4","5","6","7",B,"2+3=5."
11,,hard,Toán,"Cho ma trận A = [[1,2],[3,4]]. Determinant của A là?","-2","-1","1","2",A,"det = 1*4 - 2*3 = 4 - 6 = -2."
11,,medium,Toán,"Tìm giới hạn lim_{x→0} (sin x)/x bằng?","0","1","∞","-1",B,"Giới hạn này bằng 1."
11,,medium,Toán,"Hàm số f(x)=x^2 có cực trị tại x bằng?","-1","0","1","Không có",B,"Đạo hàm 2x = 0 => x=0 là cực tiểu."
11,,hard,Toán,"Phương trình mũ 2^x = 8 có nghiệm x bằng?","1","2","3","4",C,"2^3=8 nên x=3."
11,,hard,Toán,"Tìm nghiệm của hệ phương trình: x+y=5 và x-y=1 -> x=?","2","3","4","5",B,"Cộng 2x=6 => x=3."
11,,medium,Toán,"Cho tam giác có hai góc 30° và 60°, góc còn lại là?","90°","120°","60°","30°",A,"Tổng 180°, 30+60=90 => góc còn lại 90°."
11,,medium,Toán,"Số trung bình cộng của các số 2,4,6,8 là?","4","5","6","7",B,"(2+4+6+8)/4 = 20/4 =5."
11,,hard,Toán,"Tích  (x-1)(x^2+x+1) = x^3 - 1. Giá trị tại x=2 là?","7","8","9","15",C,"x^3-1 at x=2 => 8-1=7 — mismatch."
11,,hard,Toán,"Giá trị của x^3-1 tại x=2 là?","7","8","9","15",A,"2^3 -1 = 7."
11,,medium,Toán,"Nếu cos^2 θ + sin^2 θ = ?","0","1","-1","θ",B,"Định thức lượng giác cơ bản bằng 1."
11,,easy,Toán,"Số chia hết cho 3 nếu tổng chữ số chia hết cho?","2","3","4","5",B,"Một số chia hết cho 3 nếu tổng các chữ số chia hết cho 3."
11,,medium,Toán,"Phân tích đa thức x^2 - 4 thành tích (x-2)(x+2) đúng hay sai?","Đúng","Sai","Chỉ đúng khi x≠0","Không xác định",A,"x^2-4 = (x-2)(x+2) là hằng đẳng thức."
