grade,class,difficulty,subject,question,A,B,C,D,answer,explanation
12,,easy,Hóa học,"1. Công thức phân tử của nước là?","H2","O2","H2O","HO",C,"Nước: H2O"
12,,easy,Hóa học,"2. Nguyên tố có ký hiệu 'Na' là?","Nitơ","Natri","Niken","Neon",B,"Na là Natri"
12,,medium,Hóa học,"3. Phản ứng trung hòa giữa axit và bazơ tạo thành?","Muối và nước","Khí","Nước","Oxit",A,"Axit + Bazơ -> Muối + Nước"
12,,medium,Hóa học,"4. pH=7 được gọi là?","Axít","Bazơ","Trung tính","Đặc trưng",C,"pH 7 là trung tính"
12,,easy,Hóa học,"5. Nguyên tử gồm các hạt nào?","Electron, Proton, Neutron","Proton và Neutron","Electron và Neutron","Proton chỉ",A,"Nguyên tử gồm electron, proton, neutron"
12,,medium,Hóa học,"6. Hợp chất hữu cơ thường chứa nguyên tố nào?","Na","Cl","C","Fe",C,"Hợp chất hữu cơ chứa cacbon"
12,,hard,Hóa học,"7. Đồng vị của một nguyên tố khác nhau ở điểm nào?","Số proton","Số electron","Số neutron","Số nguyên tử",C,"Đồng vị khác nhau về số neutron"
12,,medium,Hóa học,"8. Phản ứng oxi hóa là quá trình?","Nhận electron","Mất electron","Không thay đổi electron","Tạo liên kết",B,"Oxi hóa: mất electron"
12,,medium,Hóa học,"9. Dãy hoạt động của kim loại dùng để xác định gì?","Tính khử","Tính axit","Tính tan","Tính bazơ",A,"Dãy hoạt động liên quan đến khả năng khử"
12,,hard,Hóa học,"10. CO2 tác dụng với nước vôi trong (Ca(OH)2) tạo ra?","CaCO3 kết tủa","Ca(HCO3)2 lắng","Không phản ứng","Khí CO",A,"CO2 + Ca(OH)2 -> CaCO3 (tủa)"
12,,easy,Hóa học,"11. Phân tử O2 có bao nhiêu nguyên tử oxy?","1","2","3","0",B,"O2 chứa 2 nguyên tử oxy"
12,,medium,Hóa học,"12. Công thức axit clohidric là?","HCl","H2SO4","HNO3","H2CO3",A,"HCl là axit clohidric"
12,,hard,Hóa học,"13. Phản ứng nhiệt phân là gì?","Phản ứng với nước","Phản ứng bị phân hủy bởi nhiệt","Phản ứng với axit","Phản ứng với bazơ",B,"Phân hủy bởi nhiệt"
12,,medium,Hóa học,"14. Điện ly hoàn toàn là gì?","Ion hóa hoàn toàn trong dung dịch","Không ion hóa","Ion hóa một phần","Tạo kết tủa",A,"Điện ly hoàn toàn: ion hóa hoàn toàn"
12,,easy,Hóa học,"15. Dung dịch nào dẫn điện tốt?","Nước tinh khiết","Dung dịch muối điện ly","Dầu","Cồn",B,"Dung dịch muối điện ly dẫn điện tốt"
12,,medium,Hóa học,"16. Phản ứng cộng là đặc trưng của loại hợp chất nào?","Ankan","Anken","Ankin","Aldehyde",B,"Phản ứng cộng thường ở anken"
12,,hard,Hóa học,"17. Cấu trúc phân tử CH4 là?","Phẳng","Tứ diện đều","Tam giác","Thẳng",B,"CH4 có cấu trúc tứ diện đều"
12,,medium,Hóa học,"18. Quá trình khử là?","Nhận electron","Mất electron","Tạo ion","Phân hủy",A,"Khử: nhận electron"
12,,medium,Hóa học,"19. Nhiệt độ sôi của nước ở áp suất chuẩn?","0°C","50°C","100°C","150°C",C,"Nước sôi ở ~100°C"
12,,easy,Hóa học,"20. NaCl thường gọi là?","Đường","Muối ăn","Đá vôi","Cát",B,"NaCl là muối ăn"
